id,cod_reg,cod_dep,control,dependence,responsible_id,adviser_id,created_at,updated_at
9127,5,9127,ANTIOQUIA,CENTRO DE FORMACION MINERO AMBIENTAL,23,120,,2024-06-12 02:42:56
9201,5,9201,ANTIOQUIA,CENTRO DE DISEÑO Y MANUFACTURA DEL CUERO -ANTIOQUIA,24,120,,2024-06-12 02:53:05
9202,5,9202,ANTIOQUIA,"CENTRO DE FORMACIÓN EN DISEÑO, CONFECCIÓN Y MODA.-ANTIOQUIA",25,120,,2024-06-12 02:54:11
9203,5,9203,ANTIOQUIA,CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION-ANTIOQUIA,26,120,,2024-06-12 02:55:02
9204,5,9204,ANTIOQUIA,CENTRO DE TECNOLOGÍA DE LA MANUFACTURA AVANZADA-ANTIOQUIA,27,120,,2024-06-12 02:55:55
9205,5,9205,ANTIOQUIA,CENTRO TECNOLOGICO DEL MOBILIARIO-ANTIOQUIA,28,120,,2024-06-12 02:56:30
9301,5,9301,ANTIOQUIA,CENTRO DE COMERCIO-ANTIOQUIA,56,120,,2024-06-12 02:57:45
9401,5,9401,ANTIOQUIA,CENTRO DE SERVICIOS DE SALUD-ANTIOQUIA,67,120,,2024-06-12 02:58:19
9402,5,9402,ANTIOQUIA,CENTRO DE SERVICIOS Y GESTION EMPRESARIAL-ANTIOQUIA,68,120,,2024-06-12 02:58:55
9501,5,9501,ANTIOQUIA,COMPLEJO TECNOLOGICO PARA LA GESTION AGROEMPRESARIAL-ANTIOQUIA,73,120,,2024-06-12 02:59:30
9502,5,9502,ANTIOQUIA,COMPLEJO TECNOLOGICO MINERO AGROEMPRESARIAL- ANTIOQUIA,74,120,,2024-06-12 03:00:09
9503,5,9503,ANTIOQUIA,"CENTRO DE LA INNOVACION, LA AGROINDUSTRIA Y LA AVIACION-ANTIOQUIA",75,120,,2024-06-12 03:00:47
5,1,5,DIRECCIÓN DE PLANEACIÓN,ANTIOQUIA,120,166,,2024-06-12 03:06:45
8,1,8,DIRECCIÓN DE PLANEACIÓN,ATLÁNTICO,121,167,,2024-06-12 03:09:35
15,1,15,DIRECCIÓN DE PLANEACIÓN,BOYACÁ,124,170,,2024-06-12 03:12:57
44,1,44,DIRECCIÓN DE PLANEACIÓN,GUAJIRA,133,173,,2024-06-12 16:30:52
11,1,11,DIRECCIÓN DE PLANEACIÓN,DISTRITO CAPITAL,122,168,,2024-06-12 03:24:54
25,1,25,DIRECCIÓN DE PLANEACIÓN,CUNDINAMARCA,130,174,,2024-06-12 03:30:52
9219,17,9219,CALDAS,CENTRO DE AUTOMATIZACION INDUSTRIAL-CALDAS,42,125,,2024-06-12 03:33:49
9515,17,9515,CALDAS,CENTRO PECUARIO Y AGROEMPRESARIAL-CALDAS,84,125,,2024-06-12 03:34:20
17,1,17,DIRECCIÓN DE PLANEACIÓN,CALDAS,125,171,,2024-06-12 03:36:48
9516,18,9516,CAQUETÁ,CENTRO TECNOLOGICO DE LA AMAZONIA-CAQUETÁ,126,172,,2024-06-12 03:37:49
18,1,18,DIRECCIÓN DE PLANEACIÓN,CAQUETÁ,126,172,,2024-06-12 03:38:13
23,1,23,DIRECCIÓN DE PLANEACIÓN,CÓRDOBA,129,172,,2024-06-12 03:39:38
50,1,50,DIRECCIÓN DE PLANEACIÓN,META,135,175,,2024-06-12 03:41:05
85,1,85,DIRECCIÓN DE PLANEACIÓN,CASANARE,145,175,,2024-06-12 03:42:06
19,1,19,DIRECCIÓN DE PLANEACIÓN,CAUCA,127,173,,2024-06-12 03:43:48
5050,1,5050,DIRECCIÓN DE PLANEACIÓN,DIRECCIÓN DE EMPLEO Y TRABAJO,162,178,,2024-06-13 14:50:11
1013,1,1013,DIRECCIÓN DE PLANEACIÓN,O. DE CONTROL INTERNO DISCIPLINARIO,156,177,,2024-06-12 04:01:23
