code,project,created_at,updated_at
C-3603-1300-15-20305C,FORTALECIMIENTO DEL SERVICIO DE FORMACIÓN PROFESIONAL DEL SENA NACIONAL,,
C-3603-1300-19-708020,FORTALECIMIENTO DE LOS SERVICIOS PARA LA ATENCIÓN INTEGRAL DE LA POBLACIÓN DE LA ECONOMÍA CAMPESINA Y DE LA ECONOMÍA POPULAR NACIONAL,,
A-01-01-04,FUNCIONAMIENTO,,
C-3605-1300-3-40402A,"IMPLANTACIÓN SISTEMA DE INVESTIGACIÓN APLICADA, DESARROLLO TECNOLÓGICO, INNOVACIÓN Y COMPETITIVIDAD NACIONAL",,
C-3603-1300-17-20305C,FORTALECIMIENTO DE LOS PROCESOS DE GESTIÓN INSTITUCIONAL PARA LA IDENTIFICACIÓN Y CIERRE DE BRECHAS DE CAPITAL HUMANO NACIONAL,,
C-3603-1300-16-53105B,ADMINISTRACIÓN DE LOS PROCESOS DE NIVEL ESTRATÉGICO Y TÁCTICO QUE SOPORTAN LOS PROCESOS MISIONALES DE LA ENTIDAD NACIONAL,,
C-3602-1300-11-20305C,MEJORAMIENTO DE LAS COMPETENCIAS PARA LA EMPLEABILIDAD DE LA POBLACIÓN VÍCTIMA DEL DESPLAZAMIENTO FORZADO POR EL CONFLICTO ARMADO A NIVEL NACIONAL,,
C-3602-1300-10-20308E,DESARROLLO DE CAPACIDADES EMPRENDEDORAS Y EMPRESARIALES PARA LA GENERACIÓN DE INGRESOS A NIVEL NACIONAL,,
A-01-01-03,FUNCIONAMIENTO,,
A-02-02-01,FUNCIONAMIENTO,,
A-02-02-02,FUNCIONAMIENTO,,
A-02-02-03,FUNCIONAMIENTO,,
A-03-04-02,FUNCIONAMIENTO,,
A-03-10-01,FUNCIONAMIENTO,,
A-08-02,FUNCIONAMIENTO,,
A-08-03,FUNCIONAMIENTO,,
A-08-04-01,FUNCIONAMIENTO,,
C-3699-1300-15-53105B,FORTALECIMIENTO DE LA INFRAESTRUCTURA FÍSICA DEL SENA A NIVEL NACIONAL,,
C-3602-1300-13-20306B,SERVICIO PARA LA GESTIÓN DE LA AGENCIA PÚBLICA DE EMPLEO Y EL ANÁLISIS DEL MERCADO LABORAL A NIVEL NACIONAL,,
A-03-02-02,FUNCIONAMIENTO,,
C-3699-1300-13-53105B,"ADMINISTRACIÓN DE RECURSOS PARA EL PAGO DE BENEFICIOS DEL FONDO NACIONAL DE VIVIENDA, CESANTIAS Y PENSIONES DE LOS SERVIDORES Y EXSERVIDORES DEL SENA A NIVEL NACIONAL",,
C-3602-1300-12-20308E,SERVICIO DE APOYO FINANCIERO PARA LA CREACIÓN Y SOSTENIBILIDAD DE EMPRESAS A NIVEL NACIONAL,,
A-01-01-01,FUNCIONAMIENTO,,
A-01-01-02,FUNCIONAMIENTO,,
A-06-01-04,FUNCIONAMIENTO,,
A-08-01-02,FUNCIONAMIENTO,,
